Time_(days)	Vit_conc_(percent)
0	100.0
0	100.0
0	100.0
0	100.0
0	100.0
0	100.0
0	100.0
0	100.0
0	100.0
0	100.0
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
1	99.9485154544
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
2	99.8970574155
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
3	99.8456258694
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
4	99.7942208027
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
5	99.7428422016
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
6	99.6914900526
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
7	99.640164342
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
8	99.5888650562
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
9	99.5375921816
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
10	99.4863457046
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
11	99.4351256116
12	99.3839318891
12	99.3839318891
12	99.3839318891
12	99.3839318891
12	99.3839318891
12	99.3839318891
